"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,170.2089,4.2667e-05,NaN,NaN,NaN,NaN,NaN,18.8078,18.8078,
1,170.2089,0.16324,3.3529,0.00048828,0,1.7479,1,16.2043,16.2043,
2,164.3374,0.20466,0.48207,1,0,0.48051,1,4.7346,4.7346,
3,156.6379,0.32407,11.8017,1,0,2.6869,1,0.10677,0.10677,
4,156.2392,0.36334,0.073786,1,0,0.073777,1,0.089927,0.089927,
5,152.0943,0.46429,0.69005,6.1035e-05,0,0.63664,1,0.0093105,0.0093105,
6,149.7802,0.62499,0.57502,1.5259e-05,0,0.54999,1,0.0031832,0.0031832,
7,149.0716,0.73077,0.33199,7.6294e-06,0,0.32609,1,0.00018939,0.00018939,
8,149.0767,0.77068,0.0020139,1,0,0.0020139,1,8.2304e-05,8.2304e-05,
9,149.0371,0.95664,0.10625,0.00097656,0,0.10598,1,1.263e-05,1.263e-05,
10,149.0371,0.99859,2.2355e-05,0.00097656,0,2.2355e-05,1,1.2628e-05,1.2628e-05,
