"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,236.8445,4.9841e-05,NaN,NaN,NaN,NaN,NaN,140.1505,140.1505,
1,236.8445,0.094969,5.8175,0.00048828,0,1.8913,1,124.512,124.512,
2,243.8993,0.63458,17.2292,1,0,3.4241,1,52.3439,52.3439,
3,242.8385,0.70423,0.2281,0.0625,0,0.22801,1,51.0771,51.0771,
4,205.4987,1.1104,63.8536,0.125,0,5.7352,1,47.6995,47.6995,
5,212.361,1.1798,1.0785,1,0,1.0689,1,42.6847,42.6847,
6,218.4561,1.7742,12.0932,0.03125,0,2.6145,1,39.0324,39.0324,
7,215.7269,1.8423,0.59282,1,0,0.59115,1,11.3001,11.3001,
8,201.891,2.1189,6.1455,0.0039063,0,2.99,1,3.8584,3.8584,
9,202.8875,2.1866,0.12434,0.25,0,0.12433,1,3.4542,3.4542,
10,197.7967,2.3363,1.6338,0.00048828,0,1.0958,1,2.0753,2.0753,
11,197.0716,2.5821,2.0336,0.00097656,0,1.3645,1,1.1119,1.1119,
12,196.2232,2.6515,0.11214,0.5,0,0.11213,1,1.0035,1.0035,
13,193.83,2.9457,3.0803,0.00048828,0,1.6215,1,0.96258,0.96258,
14,193.2932,3.1512,5.6164,0.00097656,0,1.8839,1,0.47218,0.47218,
15,191.2755,3.4189,1.9519,0.00048828,0,1.3558,1,0.081907,0.081907,
16,191.454,3.4823,0.026253,1,0,0.026253,1,0.024662,0.024662,
17,191.0569,3.8394,0.77134,0.00048828,0,0.70495,1,0.0083041,0.0083041,
18,191.0366,3.9057,0.0031932,0.0625,0,0.0031932,1,0.0081486,0.0081486,
19,190.7491,4.2599,0.49671,0.00097656,0,0.47777,1,0.00063694,0.00063694,
20,190.6567,4.502,0.31554,7.6294e-06,0,0.30894,1,0.00058836,0.00058836,
21,190.4829,4.9018,0.18012,3.0518e-05,0,0.17893,1,7.5307e-05,7.5307e-05,
22,190.4845,4.9683,0.00027424,0.0625,0,0.00027424,1,7.326e-05,7.326e-05,
