"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,63.5098,5.3617e-05,NaN,NaN,NaN,NaN,NaN,1.1453,1.1453,
1,63.5098,0.035527,5.5125,0.25,0,2.5926,1,2.695,2.695,
2,51.0553,0.061194,0.54893,1,0,0.54189,1,2.0913,2.0913,
3,48.6431,0.10873,4.2176,0.0078125,0,1.9074,1,1.0088,1.0088,
4,49.3511,0.13569,0.29406,1,0,0.29307,1,0.64089,0.64089,
5,52.6731,0.17853,1.2934,0.25,0,1.0645,1,0.13754,0.13754,
6,52.6525,0.20533,0.09137,0.5,0,0.091338,1,0.12566,0.12566,
7,52.4308,0.24695,0.71046,0.015625,0,0.6643,1,0.041646,0.041646,
8,52.4591,0.27451,0.058427,1,0,0.058418,1,0.021318,0.021318,
9,51.1038,0.32024,0.46546,0.0019531,0,0.44973,1,0.0022107,0.0022107,
10,50.3688,0.37861,0.42302,6.1035e-05,0,0.41106,1,0.0016611,0.0016611,
11,50.3557,0.40922,0.0085701,0.5,0,0.0085701,1,0.0012764,0.0012764,
12,50.5704,0.47469,0.27215,0.03125,0,0.26907,1,6.2541e-06,6.2541e-06,
13,50.5717,0.50154,0.00080033,1,0,0.00080033,1,3.7831e-06,3.7831e-06,
14,50.4715,0.55232,0.050577,2.9802e-08,0,0.050555,1,5.7072e-07,5.7072e-07,
15,50.4715,0.58336,2.0332e-05,0.0078125,0,2.0332e-05,-6,5.6869e-07,5.6869e-07,
