"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,52.3586,7.023e-05,NaN,NaN,NaN,NaN,NaN,13.9478,13.9478,
1,52.3586,0.046296,86.3238,0.25,0,4.7263,1,6.4621,6.4621,
2,39.3415,0.091241,3.8909,0.5,0,1.9218,1,5.3046,5.3046,
3,39.2032,0.12623,0.12416,0.0078125,0,0.12394,1,5.3436,5.3436,
4,41.0237,0.1529,6.5481,1,0,2.1071,1,0.69635,0.69635,
5,40.3458,0.18383,0.33583,1,0,0.33278,1,0.55263,0.55263,
6,39.2294,0.23543,0.98848,0.0625,0,0.86997,1,0.89657,0.89657,
7,41.5757,0.28812,2.0879,0.0625,0,1.5755,1,0.030036,0.030036,
8,40.8742,0.33111,1.8682,0.125,0,1.471,1,0.021352,0.021352,
9,40.8698,0.35596,0.0079035,0.015625,0,0.0079034,1,0.021538,0.021538,
10,40.8179,0.39909,0.68979,0.03125,0,0.64336,1,0.0033273,0.0033273,
11,40.9052,0.44913,0.80113,0.03125,0,0.75381,1,0.00096846,0.00096846,
12,40.7658,0.50268,0.47959,0.0078125,0,0.46765,1,0.00069176,0.00069176,
13,40.7688,0.52922,0.0075763,1,0,0.0075763,1,0.00041213,0.00041213,
14,40.8238,0.59602,0.14635,3.8147e-06,0,0.14583,1,9.6901e-05,9.6901e-05,
15,40.8226,0.68574,0.10083,0.0039063,0,0.10066,1,2.361e-05,2.361e-05,
16,40.8157,0.76735,0.096956,0.00012207,0,0.096811,1,1.0922e-07,1.0922e-07,
17,40.7837,0.84197,0.02921,5.9605e-08,0,0.029206,1,2.6743e-08,2.6743e-08,
18,40.7836,0.87151,3.2809e-05,0.5,0,3.2809e-05,-6,2.1016e-08,2.1016e-08,
