"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,402.9975,227.9503,4.8708e-05,NaN,NaN,NaN,NaN,1,131.5852,128.3175,128.3175,
1,394.3846,1478.3561,0.17173,0.00097656,0,1.5473,1,7.1273,114.0879,110.0975,110.0975,
2,392.146,1710.9074,0.34385,0.0019531,0,1.8927,1,8.7752,96.0734,91.4482,91.4482,
3,387.7646,14784.1504,0.51728,1.5259e-05,0,2.4309,1,84.7873,80.1959,74.7155,74.7155,
4,387.9854,28.8239,0.68948,1,0,0.51626,1,84.7873,40.7001,28.8332,28.8332,
5,387.026,28.817,0.85965,0.0039063,0,0.09483,1,84.7873,40.7658,28.809,28.809,
6,386.9183,35.7243,1.0344,0.00024414,0,0.014964,1,84.7873,40.7767,28.8059,28.8059,
7,341.9854,36.98,1.2458,0.25,0,3.3414,1,84.7873,35.4029,21.0009,21.0009,
8,326.2422,185.0182,1.4242,0.0039063,0,2.2277,1,84.7873,30.114,4.9887,4.9887,
9,322.3533,1167.2248,1.6011,0.00097656,0,1.4169,1,84.7873,30.2498,4.1594,4.1594,
10,319.3901,15205.8219,1.7741,6.1035e-05,0,1.1708,1,436.287,30.3019,3.1854,3.1854,
11,319.3889,30.0908,1.9409,0.0625,0,0.040201,1,436.287,30.2843,3.1557,3.1557,
12,318.5982,29.1788,2.1084,0.0039063,0,0.067127,1,436.287,30.2931,3.1555,3.1555,
13,318.4711,56.2363,2.2757,0.00048828,0,0.065892,1,436.287,30.2923,3.155,3.155,
14,318.4707,32.2429,2.4458,3.0518e-05,0,0.00084277,1,436.287,30.2926,3.1549,3.1549,
15,318.4707,85.2574,2.6162,1.4901e-08,0,4.6933e-05,1,436.287,30.2926,3.1549,3.1549,
