"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
109,3195.9654,7.4848,1.0254,0.0088455,1.0255,
110,3195.9233,7.5517,1.0109,0.010225,1.011,
111,3195.5016,7.6211,0.94773,0.009064,0.94778,
112,3195.4512,7.6871,0.91694,0.010425,0.91701,
113,3195.0934,7.7582,0.91115,0.0075345,0.91119,
114,3195.0417,7.8248,0.87462,0.0088354,0.87468,
115,3194.7824,7.898,1.1455,0.0061182,1.1455,
116,3194.7308,7.9631,1.149,0.0072143,1.149,
117,3194.5022,8.0321,1.2874,0.003615,1.2874,
118,3194.4512,8.0973,1.2748,0.0045833,1.2749,
119,3194.0642,8.166,1.2841,0.0041253,1.2841,
120,3194.0156,8.2337,1.2626,0.0042773,1.2627,
121,3193.66,8.302,1.2723,0.0036244,1.2723,
122,3193.6155,8.3698,1.232,0.0046426,1.232,
123,3193.2644,8.4394,1.2466,0.0039239,1.2466,
124,3193.2221,8.5052,1.2156,0.0049295,1.2157,
125,3192.8707,8.5745,1.1677,0.0044813,1.1677,
126,3192.8331,8.6435,1.1147,0.0055345,1.1147,
127,3192.4999,8.7144,1.0994,0.0043641,1.0994,
128,3192.4661,8.7797,1.0264,0.0053168,1.0265,
129,3192.1233,8.8485,0.90762,0.0047107,0.90765,
130,3192.0951,8.9165,0.81377,0.0055194,0.8138,
131,3191.7996,8.9851,0.88728,0.0045765,0.8873,
132,3191.7797,9.05,0.80611,0.0052637,0.80614,
133,3191.461,9.1184,0.65535,0.0045484,0.65538,
134,3191.4514,9.1835,0.59265,0.0051483,0.59269,
135,3191.194,9.253,0.61289,0.003941,0.61291,
136,3191.1909,9.3204,0.61007,0.0044665,0.6101,
137,3190.9557,9.3888,0.3622,0.0030704,0.36223,
138,3190.7682,9.4602,0.29815,0.0029201,0.29819,
139,3190.6448,9.5298,0.2992,0.0024416,0.29924,
140,3190.6301,9.5949,0.29966,0.0025011,0.2997,
141,3190.2775,9.664,0.20826,0.00038996,0.20826,
142,3190.2691,9.7291,0.21093,0.00054124,0.21093,
143,3190.2014,9.7974,0.40766,0.0004385,0.40766,
144,3190.1963,9.8624,0.42362,0.00062497,0.42362,
145,3190.1224,9.9309,0.19713,0.00064582,0.19714,
146,3190.1194,10.001,0.1971,0.00090415,0.1971,
147,3190.0521,10.0693,0.28538,0.00068375,0.28538,
148,3190.0508,10.1348,0.25717,0.0010182,0.25717,
149,3189.9937,10.2037,0.18709,0.00076609,0.18709,
150,3189.9489,10.2736,0.17644,0.00095414,0.17644,
151,3189.921,10.3442,0.18519,0.001016,0.1852,
152,3189.9166,10.4099,0.18191,0.001107,0.18191,
153,3189.8256,10.4777,0.16936,0.00017019,0.16936,
154,3189.8227,10.5426,0.16871,0.00027366,0.16871,
155,3189.8066,10.6104,0.17605,0.00021547,0.17605,
156,3189.8038,10.6772,0.17765,0.00032147,0.17765,
157,3189.7832,10.7451,0.16057,0.00029735,0.16057,
158,3189.7808,10.8098,0.15892,0.00041239,0.15892,
159,3189.7629,10.8837,0.1955,0.00029788,0.1955,
160,3189.7607,10.9491,0.19196,0.00041938,0.19196,
161,3189.7399,11.0177,0.15893,0.00039019,0.15893,
162,3189.738,11.0828,0.15968,0.00052057,0.15968,
163,3189.7211,11.1516,0.16303,0.00038433,0.16303,
164,3189.7193,11.2252,0.16059,0.00052643,0.16059,
165,3189.6988,11.2965,0.15692,0.00041533,0.15692,
166,3189.697,11.3623,0.15621,0.00055841,0.15621,
167,3189.6815,11.4311,0.16052,0.00043222,0.16052,
168,3189.6798,11.4966,0.16131,0.00057612,0.16131,
169,3189.6595,11.5657,0.15213,0.00048075,0.15213,
170,3189.6579,11.6316,0.15238,0.00062863,0.15238,
171,3189.6429,11.7048,0.16056,0.00046887,0.16057,
172,3189.6414,11.775,0.16134,0.00061965,0.16134,
173,3189.6212,11.8478,0.15146,0.00052126,0.15146,
174,3189.6196,11.9143,0.15194,0.00067577,0.15195,
175,3189.604,11.9884,0.16088,0.00050442,0.16088,
176,3189.6024,12.0566,0.16194,0.00066007,0.16195,
177,3189.5843,12.1314,0.15558,0.00049241,0.15558,
178,3189.5827,12.206,0.15679,0.0006485,0.15679,
179,3189.5678,12.2862,0.16892,0.0004828,0.16892,
180,3189.5662,12.3644,0.17006,0.00063889,0.17006,
181,3189.5516,12.4515,0.20216,0.00043118,0.20216,
182,3189.55,12.5355,0.19993,0.00058812,0.19993,
183,3189.5343,12.6239,0.18601,0.00045928,0.18601,
184,3189.5327,12.7093,0.18749,0.00061625,0.18749,
185,3189.5131,12.8006,0.1975,0.00047512,0.1975,
186,3189.5116,12.8885,0.19537,0.00063251,0.19537,
187,3189.4957,12.9828,0.19255,0.00049147,0.19255,
188,3189.4942,13.0695,0.19392,0.00064721,0.19392,
189,3189.4752,13.1646,0.20058,0.00049227,0.20059,
190,3189.4737,13.2531,0.19839,0.00064633,0.1984,
191,3189.4576,13.3487,0.20401,0.00050115,0.20401,
192,3189.4562,13.4391,0.20804,0.00065574,0.20804,
193,3189.4374,13.5321,0.21512,0.00049784,0.21512,
194,3189.436,13.623,0.21854,0.00065216,0.21854,
195,3189.4195,13.7168,0.23397,0.00049773,0.23397,
196,3189.4182,13.8054,0.23733,0.00065001,0.23733,
197,3189.3995,13.9046,0.24511,0.00049955,0.24511,
198,3189.3982,13.9929,0.24761,0.00065156,0.24761,
199,3189.3816,14.0858,0.26467,0.0004959,0.26467,
200,3189.3804,14.1724,0.26823,0.00064419,0.26823,
201,3189.3627,14.2656,0.27597,0.00050042,0.27597,
202,3189.3616,14.3559,0.27933,0.00064592,0.27933,
203,3189.3441,14.4472,0.29462,0.00049704,0.29462,
204,3189.3431,14.5333,0.29748,0.00064237,0.29748,
205,3189.3273,14.6249,0.30713,0.00048716,0.30713,
206,3189.3263,14.7105,0.30934,0.0006326,0.30934,
207,3189.3069,14.7996,0.32366,0.00049461,0.32366,
208,3189.3059,14.8815,0.32574,0.00063836,0.32574,
209,3189.2831,14.9681,0.3346,0.00055797,0.3346,
210,3189.2823,15.0444,0.33708,0.00069852,0.33708,
211,3189.2716,15.126,0.35352,0.00046846,0.35352,
212,3189.2708,15.1989,0.35485,0.00060735,0.35485,
213,3189.2474,15.2796,0.35998,0.00053093,0.35998,
214,3189.2465,15.3524,0.36127,0.00066755,0.36127,
215,3189.2189,15.431,0.36734,0.00063371,0.36734,
216,3189.218,15.5009,0.3697,0.00077075,0.3697,
217,3189.1937,15.5724,0.4349,0.00067791,0.4349,
218,3189.192,15.6401,0.44877,0.0008254,0.44877,
219,3189.1544,15.7093,0.35507,0.00065831,0.35507,
220,3189.151,15.7757,0.35919,0.00082195,0.35919,
221,3189.1341,15.845,0.29734,0.00042375,0.29734,
222,3189.1302,15.9124,0.29422,0.0005895,0.29422,
223,3189.0971,16.0151,0.29316,0.00048819,0.29316,
224,3189.0932,16.1074,0.28928,0.00065427,0.28928,
225,3189.0801,16.2234,0.44177,0.00044305,0.44177,
226,3189.0761,16.3302,0.44595,0.00060665,0.44596,
227,3189.0559,16.4448,0.29065,0.00040194,0.29066,
228,3189.0518,16.5519,0.28659,0.0005635,0.28659,
229,3189.0285,16.6653,0.45447,0.00044348,0.45447,
230,3189.0244,16.7741,0.45847,0.00059678,0.45847,
231,3188.9985,16.89,0.2893,0.0004493,0.2893,
232,3188.9945,16.9977,0.29119,0.00060919,0.29119,
233,3188.972,17.1109,0.46798,0.00045896,0.46798,
234,3188.9679,17.2213,0.47131,0.0006125,0.47131,
235,3188.9417,17.3321,0.32473,0.00047112,0.32473,
236,3188.9377,17.441,0.32423,0.00061423,0.32423,
237,3188.9156,17.554,0.47801,0.00048014,0.47801,
238,3188.9118,17.6623,0.48126,0.00062315,0.48126,
239,3188.8849,17.7729,0.34979,0.00048244,0.34979,
240,3188.8812,17.8789,0.35094,0.00062398,0.35094,
241,3188.8595,17.9883,0.4789,0.00047885,0.4789,
242,3188.856,18.0917,0.4817,0.00061415,0.4817,
243,3188.828,18.1973,0.37198,0.00048138,0.37198,
244,3188.8248,18.2987,0.36381,0.00060803,0.36381,
245,3188.8036,18.4027,0.48491,0.00046899,0.48491,
246,3188.8006,18.5019,0.48478,0.00058394,0.48478,
247,3188.7712,18.6031,0.3956,0.00048351,0.3956,
248,3188.7687,18.702,0.38665,0.0005886,0.38665,
249,3188.7489,18.8013,0.49664,0.00046428,0.49664,
250,3188.7468,18.8967,0.49523,0.00056694,0.49523,
251,3188.7152,18.9959,0.40363,0.00046574,0.40363,
252,3188.7135,19.0858,0.39516,0.00056171,0.39516,
253,3188.6879,19.179,0.43523,0.00049292,0.43523,
254,3188.6866,19.2697,0.43474,0.00057777,0.43474,
255,3188.6577,19.3619,0.46321,0.00045544,0.46321,
256,3188.6568,19.4443,0.45577,0.00052908,0.45578,
257,3188.6304,19.5359,0.40028,0.00046133,0.40028,
258,3188.6299,19.6146,0.40241,0.00053186,0.40241,
259,3188.5984,19.6978,0.50456,0.00042052,0.50456,
260,3188.5734,19.7772,0.33124,0.00042241,0.33124,
261,3188.5359,19.8551,0.31329,0.00040364,0.31329,
262,3188.5353,19.9244,0.31949,0.00047108,0.31949,
263,3188.4971,19.995,0.53286,0.00023378,0.53286,
264,3188.4953,20.0628,0.54657,0.00028987,0.54657,
265,3188.4569,20.1382,0.58079,0.00025406,0.58079,
266,3188.455,20.2094,0.59478,0.00028389,0.59478,
267,3188.4196,20.3298,0.55255,0.0003206,0.55255,
268,3188.4177,20.4405,0.56712,0.00038381,0.56712,
269,3188.3863,20.5589,0.56082,0.00029328,0.56082,
270,3188.3837,20.6716,0.57581,0.00035764,0.57581,
271,3188.3546,20.7896,0.61493,0.00028698,0.61493,
272,3188.3523,20.9024,0.62873,0.00035193,0.62873,
273,3188.3278,21.0343,0.56191,0.0002325,0.56191,
274,3188.3252,21.1498,0.57658,0.00029645,0.57658,
275,3188.3057,21.2678,0.71246,0.00027613,0.71246,
276,3188.3028,21.3793,0.72852,0.00027586,0.72852,
277,3188.2807,21.4921,0.58811,0.00038851,0.58811,
278,3188.2769,21.6016,0.60131,0.00038795,0.60131,
279,3188.2504,21.7166,0.77525,0.00035916,0.77525,
280,3188.2461,21.825,0.78997,0.00035848,0.78997,
281,3188.2205,21.9382,0.64156,0.00038518,0.64156,
282,3188.2162,22.045,0.65559,0.00038446,0.65559,
283,3188.1894,22.1584,0.83658,0.00035723,0.83658,
284,3188.1853,22.2658,0.84877,0.00035655,0.84877,
285,3188.1602,22.3772,0.70835,0.0003789,0.70835,
286,3188.1557,22.4833,0.72504,0.00037783,0.72504,
287,3188.1288,22.5945,0.90221,0.00035009,0.90221,
288,3188.1236,22.7027,0.91239,0.00034922,0.91239,
289,3188.0992,22.8131,0.77588,0.00036918,0.77588,
290,3188.094,22.9267,0.7881,0.00036826,0.7881,
291,3188.067,23.0377,0.9608,0.00034078,0.9608,
292,3188.062,23.1406,0.96867,0.00033982,0.96867,
293,3188.0384,23.2465,0.8392,0.00036155,0.8392,
294,3188.0335,23.3507,0.84823,0.00036056,0.84823,
295,3188.0061,23.4591,1.0204,0.00032998,1.0204,
296,3188.0014,23.561,1.0293,0.00032909,1.0293,
